,index,column_2,column_3,column_13
0,16591853400,Palau,Office Supplies,1260428.96
1,16591853401,Poland,Beverages,296918.6
2,16591853402,Canada,Cereal,12062.33
3,16591853403,Belarus,Snacks,137780.16
4,16591853404,Oman,Cereal,822931.97
5,16591853405,Burkina Faso,Office Supplies,1432615.84
6,16591853406,Montenegro,Personal Care,75767.79
7,16591853407,Azerbaijan,Cosmetics,2027377.67
8,16591853408,South Sudan,Clothes,132464.64
9,16591853409,Greenland,Personal Care,183554.13
10,165918534010,Portugal,Cosmetics,1914409.1
11,165918534011,Sierra Leone,Clothes,314065.92
12,165918534012,Germany,Personal Care,437605.74
13,165918534013,Montenegro,Personal Care,350447.28
14,165918534014,Bangladesh,Cereal,376625.76
15,165918534015,Mauritius ,Snacks,966312.48
16,165918534016,Kyrgyzstan,Snacks,430295.04
17,165918534017,Madagascar,Clothes,246400.0
18,165918534018,Romania,Meat,1635999.34
19,165918534019,Malta,Personal Care,366824.91
20,165918534020,Latvia,Clothes,325821.44
21,165918534021,Bangladesh,Fruits,4325.0
22,165918534022,Yemen,Household,3213240.76
23,165918534023,Myanmar,Vegetables,340532.85
24,165918534024,The Gambia,Office Supplies,3705692.64
25,165918534025,Russia,Fruits,19009.24
26,165918534026,Malawi,Snacks,414217.44
27,165918534027,Oman,Cosmetics,1855159.85
28,165918534028,Belize,Fruits,25140.36
29,165918534029,Haiti,Baby Food,1363519.26
30,165918534030,Slovakia,Cosmetics,887422.1
31,165918534031,Oman,Vegetables,153217.05
32,165918534032,Qatar,Office Supplies,2165984.96
33,165918534033,Namibia,Household,1686021.7
34,165918534034,Democratic Republic of the Congo,Snacks,883196.16
35,165918534035,Slovenia,Cosmetics,784196.74
36,165918534036,Uzbekistan,Baby Food,613767.0
37,165918534037,United Kingdom,Personal Care,139804.89
38,165918534038,Zambia,Cosmetics,1750091.18
39,165918534039,Poland,Clothes,223498.24
40,165918534040,Comoros,Office Supplies,4261100.32
41,165918534041,Singapore,Beverages,38148.0
42,165918534042,Portugal,Office Supplies,749117.92
43,165918534043,Switzerland,Vegetables,615777.96
44,165918534044,France,Household,1125689.6
45,165918534045,Samoa ,Beverages,154721.93
46,165918534046,Lesotho,Personal Care,494162.4
47,165918534047,South Korea,Fruits,68494.16
48,165918534048,Poland,Cosmetics,403158.23
49,165918534049,Antigua and Barbuda ,Household,4412803.74
50,165918534050,Austria,Cosmetics,1010660.54
51,165918534051,Switzerland,Meat,338432.32
52,165918534052,Norway,Cereal,152711.44
53,165918534053,Qatar,Personal Care,467697.51
54,165918534054,Hungary,Cosmetics,551149.69
55,165918534055,Yemen,Meat,1886176.68
56,165918534056,Cote d'Ivoire,Meat,2505420.3
57,165918534057,Malta,Clothes,308152.32
58,165918534058,Montenegro,Beverages,279688.42
59,165918534059,Eritrea,Office Supplies,4170807.2
60,165918534060,Cameroon,Snacks,345132.48
61,165918534061,Canada,Office Supplies,2690944.96
62,165918534062,Uganda,Personal Care,525047.55
63,165918534063,Estonia,Office Supplies,2392242.72
64,165918534064,Gabon,Cosmetics,1746404.56
65,165918534065,Palau,Clothes,112931.84
66,165918534066,Egypt,Office Supplies,4623322.72
67,165918534067,Portugal,Clothes,11576.32
68,165918534068,Czech Republic,Clothes,52111.36
69,165918534069,Turkmenistan,Cereal,935240.46
70,165918534070,Saint Lucia,Personal Care,155049.12
71,165918534071,United Kingdom,Personal Care,31395.18
72,165918534072,Malawi,Snacks,323305.92
73,165918534073,Monaco,Personal Care,280006.47
74,165918534074,Djibouti,Vegetables,578769.45
75,165918534075,Zimbabwe,Fruits,3889.04
76,165918534076,Grenada,Household,3788649.06
77,165918534077,Andorra,Meat,3402922.39
78,165918534078,Nigeria,Beverages,159140.74
79,165918534079,Kyrgyzstan,Beverages,179963.19
80,165918534080,Tajikistan,Vegetables,857288.04
81,165918534081,Malaysia,Beverages,205585.93
82,165918534082,Hungary,Personal Care,225036.57
83,165918534083,Germany,Clothes,41681.92
84,165918534084,Guinea,Cosmetics,1132055.67
85,165918534085,Pakistan,Fruits,11507.96
86,165918534086,Equatorial Guinea,Office Supplies,4501007.04
87,165918534087,Morocco,Baby Food,379579.02
88,165918534088,Nauru,Vegetables,678519.66
89,165918534089,Uzbekistan,Personal Care,13034.1
90,165918534090,Finland,Clothes,147911.68
91,165918534091,Indonesia,Beverages,147060.54
92,165918534092,Maldives,Cosmetics,1114412.56
93,165918534093,Morocco,Cereal,876099.91
94,165918534094,Dominican Republic,Clothes,212925.44
95,165918534095,Qatar,Clothes,115082.24
96,165918534096,United States of America,Clothes,355532.8
97,165918534097,South Africa,Cosmetics,2298607.57
98,165918534098,Swaziland,Household,4689200.74
99,165918534099,Kuwait,Personal Care,195454.83
100,1659185340100,Guinea-Bissau,Fruits,68085.88
101,1659185340101,Sweden,Beverages,295201.94
102,1659185340102,Saint Lucia,Clothes,344350.72
103,1659185340103,France,Clothes,23403.52
104,1659185340104,Bahrain,Cereal,1089240.11
105,1659185340105,Vatican City,Personal Care,252974.88
106,1659185340106,Yemen,Cosmetics,548779.72
107,1659185340107,Nepal,Office Supplies,70344.64
108,1659185340108,Tajikistan,Vegetables,329166.6
109,1659185340109,Finland,Vegetables,870836.61
110,1659185340110,Algeria,Cereal,242651.92
111,1659185340111,Niger,Beverages,229078.74
112,1659185340112,Kazakhstan,Fruits,56093.52
113,1659185340113,Germany,Meat,3623559.84
114,1659185340114,Democratic Republic of the Congo,Clothes,175114.24
115,1659185340115,Samoa ,Fruits,49685.6
116,1659185340116,Georgia,Cereal,945546.14
117,1659185340117,Solomon Islands,Cosmetics,224883.82
118,1659185340118,Hungary,Meat,2128330.84
119,1659185340119,East Timor,Snacks,523252.8
120,1659185340120,Netherlands,Baby Food,1408635.12
121,1659185340121,Haiti,Household,3841415.76
122,1659185340122,Sweden,Office Supplies,123890.56
123,1659185340123,Nepal,Clothes,254033.92
124,1659185340124,Cote d'Ivoire,Fruits,39464.76
125,1659185340125,Benin,Cosmetics,1479124.61
126,1659185340126,Greenland,Snacks,331198.56
127,1659185340127,South Sudan,Vegetables,695250.78
128,1659185340128,Haiti,Cereal,467151.79
129,1659185340129,Mexico,Snacks,8574.72
130,1659185340130,South Africa,Snacks,61971.84
131,1659185340131,Cape Verde,Clothes,84474.88
132,1659185340132,Slovenia,Personal Care,510313.35
133,1659185340133,Saint Lucia,Baby Food,1015027.14
134,1659185340134,Zambia,Clothes,260198.4
135,1659185340135,Marshall Islands,Fruits,45208.36
136,1659185340136,Liberia,Cosmetics,1597096.45
137,1659185340137,Kosovo,Snacks,951793.92
138,1659185340138,Laos,Household,4313803.36
139,1659185340139,Indonesia,Beverages,174431.73
140,1659185340140,Uganda,Beverages,15290.99
141,1659185340141,Iran,Meat,2043358.07
142,1659185340142,Equatorial Guinea,Baby Food,1581605.82
143,1659185340143,Hungary,Cosmetics,1193148.23
144,1659185340144,Somalia,Baby Food,1206171.72
145,1659185340145,Luxembourg,Vegetables,835192.05
146,1659185340146,Estonia,Snacks,641252.64
147,1659185340147,Germany,Cereal,1051530.69
148,1659185340148,Libya,Snacks,256364.64
149,1659185340149,Sweden,Office Supplies,3058416.96
150,1659185340150,Yemen,Office Supplies,2036844.8
151,1659185340151,Liechtenstein,Beverages,131642.39
152,1659185340152,Libya,Meat,361043.1
153,1659185340153,Senegal,Cereal,98138.18
154,1659185340154,Kiribati,Beverages,226567.33
155,1659185340155,Zimbabwe,Beverages,169472.49
156,1659185340156,Saint Lucia,Cosmetics,2094790.15
